Basis,Method,X,Angle,Energy
dz,mp2,1.0,A,-0.8081177660047968
dz,mp3,1.0,A,-0.02689205039476221
dz,mp2,1.0,AB,-2.008433940807162
dz,mp3,1.0,AB,-0.035727057359607045
dz,mp2,1.0,Acp,-0.8096502143568068
dz,mp3,1.0,Acp,-0.026683634648765574
dz,mp2,1.0,Acpgrid,-0.8096502143568068
dz,mp3,1.0,Acpgrid,-0.026683634648765574
dz,mp2,1.0,B,-1.186945443218147
dz,mp3,1.0,B,-0.013219519244457282
dz,mp2,1.0,Bcp,-1.188492519031285
dz,mp3,1.0,Bcp,-0.013000054033079338
dz,mp2,1.0,Bcpgrid,-1.188492519031285
dz,mp3,1.0,Bcpgrid,-0.013000054033079338
dz,mp2a,1.0,A,-0.77654874178193
dz,mp2b,1.0,A,-0.7925974406688374
dz,mp3b,1.0,A,-0.02419943081354385
dz,mp3d,1.0,A,-0.030277028697388658
dz,mp2a,1.0,AB,-1.9033804262245444
dz,mp2b,1.0,AB,-1.9398275393103455
dz,mp3b,1.0,AB,-0.03323816047707731
dz,mp3d,1.0,AB,-0.049445838208869525
dz,mp2a,1.0,Acp,-0.7776671647607873
dz,mp2b,1.0,Acp,-0.7941596431236358
dz,mp3b,1.0,Acp,0.4211943363492911
dz,mp3d,1.0,Acp,0.4154284902968008
dz,mp2a,1.0,Acpgrid,-0.7768070074192701
dz,mp2b,1.0,Acpgrid,-0.7933029156508573
dz,mp3b,1.0,Acpgrid,0.2658386573325666
dz,mp3d,1.0,Acpgrid,0.2594099193901164
dz,mp2a,1.0,B,-1.1389448593066778
dz,mp2b,1.0,B,-1.1594370839110164
dz,mp3b,1.0,B,-0.010280288860225584
dz,mp3d,1.0,B,-0.020268317980389985
dz,mp2a,1.0,Bcp,-1.1412039215842649
dz,mp2b,1.0,Bcp,-1.1619590409676628
dz,mp3b,1.0,Bcp,0.6331815127640879
dz,mp3d,1.0,Bcp,0.6248125577721091
dz,mp2a,1.0,Bcpgrid,-1.1404057466341277
dz,mp2b,1.0,Bcpgrid,-1.1609139137181295
dz,mp3b,1.0,Bcpgrid,0.10265368162392298
dz,mp3d,1.0,Bcpgrid,0.09188621597575063
dz,mp2a,1.2,A,-0.7945122352188722
dz,mp2b,1.2,A,-0.8104038822128148
dz,mp3b,1.2,A,-0.02305852683046282
dz,mp3d,1.2,A,-0.028883303001913135
dz,mp2a,1.2,AB,-1.969011910607814
dz,mp2b,1.2,AB,-2.0048710371684564
dz,mp3b,1.2,AB,-0.028598535320347368
dz,mp3d,1.2,AB,-0.04398105234627481
dz,mp2a,1.2,Acp,-0.7949951113621004
dz,mp2b,1.2,Acp,-0.8112646090896241
dz,mp3b,1.2,Acp,0.4371025928230598
dz,mp3d,1.2,Acp,0.431506867107074
dz,mp2a,1.2,Acpgrid,-0.7942986729696498
dz,mp2b,1.2,Acpgrid,-0.8103949639643556
dz,mp3b,1.2,Acpgrid,0.037875835179379744
dz,mp3d,1.2,Acpgrid,0.031840422703550766
dz,mp2a,1.2,B,-1.1718841656384118
dz,mp2b,1.2,B,-1.1911606509407608
dz,mp3b,1.2,B,-0.008957014589621962
dz,mp3d,1.2,B,-0.018303455848995565
dz,mp2a,1.2,Bcp,-1.1732408209486185
dz,mp2b,1.2,Bcp,-1.192484448017245
dz,mp3b,1.2,Bcp,0.6600844396333717
dz,mp3d,1.2,Bcp,0.652983038338544
dz,mp2a,1.2,Bcpgrid,-1.173795939628433
dz,mp2b,1.2,Bcpgrid,-1.193247791433421
dz,mp3b,1.2,Bcpgrid,0.012496563449452408
dz,mp3d,1.2,Bcpgrid,0.0029529692006739494
dz,mp2a,1.4,A,-0.8006596588857424
dz,mp2b,1.4,A,-0.8149591728444314
dz,mp3b,1.4,A,-0.022925623854471222
dz,mp3d,1.4,A,-0.028361422636027603
dz,mp2a,1.4,AB,-1.9916125218321166
dz,mp2b,1.4,AB,-2.024535090832125
dz,mp3b,1.4,AB,-0.0283132529056839
dz,mp3d,1.4,AB,-0.04268609595992773
dz,mp2a,1.4,Acp,-0.8023193307891265
dz,mp2b,1.4,Acp,-0.8169511273568417
dz,mp3b,1.4,Acp,0.44381190396194936
dz,mp3d,1.4,Acp,0.43852816290251717
dz,mp2a,1.4,Acpgrid,-0.8031687412595288
dz,mp2b,1.4,Acpgrid,-0.8176763444480871
dz,mp3b,1.4,Acpgrid,-0.010428754533809592
dz,mp3d,1.4,Acpgrid,-0.015785396081157296
dz,mp2a,1.4,B,-1.180215115776988
dz,mp2b,1.4,B,-1.1973336566427648
dz,mp3b,1.4,B,-0.009029446826108664
dz,mp3d,1.4,B,-0.017659185944001093
dz,mp2a,1.4,Bcp,-1.1805671708513628
dz,mp2b,1.4,Bcp,-1.198155097274974
dz,mp3b,1.4,Bcp,0.28298841681860404
dz,mp3d,1.4,Bcp,0.27489761467314155
dz,mp2a,1.4,Bcpgrid,-1.1814673894723393
dz,mp2b,1.4,Bcpgrid,-1.1988873445550645
dz,mp3b,1.4,Bcpgrid,-0.006896262719923274
dz,mp3d,1.4,Bcpgrid,-0.015604412266754339
dz,mp2a,1.6,A,-0.8061968047553952
dz,mp2b,1.6,A,-0.8178583946372625
dz,mp3b,1.6,A,-0.024090112356703663
dz,mp3d,1.6,A,-0.02881978454424508
dz,mp2a,1.6,AB,-2.000310249859913
dz,mp2b,1.6,AB,-2.028749833034648
dz,mp3b,1.6,AB,-0.02972245584944877
dz,mp3d,1.6,AB,-0.04293434871339841
dz,mp2a,1.6,Acp,-0.807981095550989
dz,mp2b,1.6,Acp,-0.8201809101934185
dz,mp3b,1.6,Acp,0.20398732702344768
dz,mp3d,1.6,Acp,0.19856330304504116
dz,mp2a,1.6,Acpgrid,-0.807699911877501
dz,mp2b,1.6,Acpgrid,-0.8200061271772359
dz,mp3b,1.6,Acpgrid,-0.018299351324148394
dz,mp3d,1.6,Acpgrid,-0.02316514280617747
dz,mp2a,1.6,B,-1.183721831860019
dz,mp2b,1.6,B,-1.19841996012131
dz,mp3b,1.6,B,-0.009728664096105274
dz,mp3d,1.6,B,-0.017768268870127266
dz,mp2a,1.6,Bcp,-1.185056766937537
dz,mp2b,1.6,Bcp,-1.1997003575918632
dz,mp3b,1.6,Bcp,0.04976896733906773
dz,mp3d,1.6,Bcp,0.041485900583879576
dz,mp2a,1.6,Bcpgrid,-1.185091223153298
dz,mp2b,1.6,Bcpgrid,-1.2000116935966036
dz,mp3b,1.6,Bcpgrid,-0.007800126633026552
dz,mp3d,1.6,Bcpgrid,-0.015931303974073066
dz,mp2a,1.8,A,-0.8075896083933104
dz,mp2b,1.8,A,-0.8169935394087686
dz,mp3b,1.8,A,-0.024788334086593297
dz,mp3d,1.8,A,-0.028995595397412033
dz,mp2a,1.8,AB,-2.006935173673467
dz,mp2b,1.8,AB,-2.030032004005874
dz,mp3b,1.8,AB,-0.03156566003549899
dz,mp3d,1.8,AB,-0.04344710942651139
dz,mp2a,1.8,Acp,-0.8090047529619094
dz,mp2b,1.8,Acp,-0.8187642334817402
dz,mp3b,1.8,Acp,0.012843815157166885
dz,mp3d,1.8,Acp,0.008586288068547443
dz,mp2a,1.8,Acpgrid,-0.8090279935112806
dz,mp2b,1.8,Acpgrid,-0.8190327287593986
dz,mp3b,1.8,Acpgrid,-0.021814810669676152
dz,mp3d,1.8,Acpgrid,-0.026179935809165472
dz,mp2a,1.8,B,-1.186032266913101
dz,mp2b,1.8,B,-1.197342898940052
dz,mp3b,1.8,B,-0.011402269862326397
dz,mp3d,1.8,B,-0.0186045454134644
dz,mp2a,1.8,Bcp,-1.1878796981392477
dz,mp2b,1.8,Bcp,-1.1990178052318294
dz,mp3b,1.8,Bcp,-0.0036798328523154206
dz,mp3d,1.8,Bcp,-0.010796950366934663
dz,mp2a,1.8,Bcpgrid,-1.187760834898203
dz,mp2b,1.8,Bcpgrid,-1.1994665643956117
dz,mp3b,1.8,Bcpgrid,-0.009381082058253623
dz,mp3d,1.8,Bcpgrid,-0.01659005887570332
dz,mp2a,2.0,A,-0.8079679676645317
dz,mp2b,2.0,A,-0.8154237039311293
dz,mp3b,2.0,A,-0.025244729698531074
dz,mp3d,2.0,A,-0.02897446418675674
dz,mp2a,2.0,AB,-2.007889268095437
dz,mp2b,2.0,AB,-2.0258278938609524
dz,mp3b,2.0,AB,-0.032705725160843524
dz,mp3d,2.0,AB,-0.04328680596419818
dz,mp2a,2.0,Acp,-0.8094571015638018
dz,mp2b,2.0,Acp,-0.8169820486285024
dz,mp3b,2.0,Acp,-0.015960155055514735
dz,mp3d,2.0,Acp,-0.019692603902230765
dz,mp2a,2.0,Acpgrid,-0.8094080736089534
dz,mp2b,2.0,Acpgrid,-0.8173148507086995
dz,mp3b,2.0,Acpgrid,-0.024231283731474998
dz,mp3d,2.0,Acpgrid,-0.028000516138732903
dz,mp2a,2.0,B,-1.1867524109614989
dz,mp2b,2.0,B,-1.1952088817685942
dz,mp3b,2.0,B,-0.012210506948242161
dz,mp3d,2.0,B,-0.018617979937447363
dz,mp2a,2.0,Bcp,-1.1883160916766595
dz,mp2b,2.0,Bcp,-1.1967018834876049
dz,mp3b,2.0,Bcp,-0.015044944461698295
dz,mp3d,2.0,Bcp,-0.02143096522266985
